,carrier,inpatient,outpatient,pde,property,auto
claim_number,1.0,1.0,1.0,1.0,1.0,1.0
policy_number,1.0,1.0,1.0,1.0,1.0,1.0
insurer,1.0,1.0,1.0,1.0,1.0,1.0
insured_party,1.0,1.0,1.0,1.0,1.0,1.0
claim_type,1.0,1.0,1.0,1.0,1.0,1.0
date_of_loss,1.0,1.0,1.0,1.0,1.0,1.0
date_filed,1.0,1.0,1.0,1.0,1.0,1.0
claimed_amount,1.0,1.0,1.0,1.0,1.0,1.0
adjuster,1.0,1.0,1.0,1.0,1.0,1.0
damages_description,1.0,1.0,1.0,1.0,1.0,1.0
coverage_determination,1.0,1.0,1.0,1.0,1.0,1.0
denial_reasons,1.0,1.0,1.0,1.0,1.0,1.0
supporting_documents,1.0,1.0,1.0,1.0,1.0,1.0
