clause,contracts_present,coverage_pct,mean_spans,max_spans
Document Name,509,84.83333333333334,1.0216110019646365,2
Parties,508,84.66666666666667,5.019685039370079,55
Agreement Date,469,78.16666666666666,1.0127931769722816,2
Effective Date,389,64.83333333333333,1.1465295629820051,3
Expiration Date,412,68.66666666666667,1.1310679611650485,7
Governing Law,436,72.66666666666667,1.061926605504587,4
Anti-Assignment,373,62.16666666666667,1.7453083109919572,10
Audit Rights,213,35.5,3.0140845070422535,19
Cap On Liability,274,45.666666666666664,2.448905109489051,16
Change Of Control,120,20.0,2.091666666666667,11
Competitive Restriction Exception,76,12.666666666666668,1.644736842105263,6
Covenant Not To Sue,99,16.5,1.7373737373737375,5
Exclusivity,179,29.833333333333336,2.2681564245810057,12
Insurance,165,27.500000000000004,3.3636363636363638,17
Ip Ownership Assignment,124,20.666666666666668,2.564516129032258,15
Irrevocable Or Perpetual License,69,11.5,2.3768115942028984,10
Joint Ip Ownership,45,7.5,2.4444444444444446,11
License Grant,254,42.333333333333336,3.031496062992126,16
Liquidated Damages,61,10.166666666666666,1.9836065573770492,10
Minimum Commitment,165,27.500000000000004,2.56969696969697,14
Most Favored Nation,28,4.666666666666667,1.3571428571428572,3
Non-Compete,118,19.666666666666664,2.1864406779661016,12
Non-Disparagement,38,6.333333333333334,1.7105263157894737,3
Non-Transferable License,137,22.833333333333332,2.167883211678832,12
Notice Period To Terminate Renewal,111,18.5,1.0990990990990992,3
No-Solicit Of Customers,34,5.666666666666666,1.7058823529411764,6
No-Solicit Of Employees,59,9.833333333333332,1.5423728813559323,4
Post-Termination Services,181,30.166666666666668,2.4751381215469612,23
Price Restrictions,15,2.5,1.8,7
Renewal Term,176,29.333333333333332,1.1931818181818181,5
Revenue/Profit Sharing,165,27.500000000000004,2.521212121212121,11
Rofr/Rofo/Rofn,84,14.000000000000002,4.25,22
Source Code Escrow,13,2.166666666666667,5.076923076923077,11
Termination For Convenience,182,30.333333333333336,1.3461538461538463,4
Third Party Beneficiary,32,5.333333333333334,1.21875,4
Uncapped Liability,110,18.333333333333332,1.509090909090909,5
Unlimited/All-You-Can-Eat-License,17,2.833333333333333,1.8823529411764706,5
Volume Restriction,82,13.666666666666666,2.0853658536585367,10
Warranty Duration,75,12.5,2.3466666666666667,10
Affiliate License-Licensee,58,9.666666666666666,1.9137931034482758,10
Affiliate License-Licensor,22,3.6666666666666665,2.727272727272727,10
