,Document Name,Parties,Agreement Date,Governing Law,Expiration Date,Effective Date,Anti-Assignment,Cap On Liability,License Grant,Audit Rights,Termination For Convenience,Post-Termination Services,Exclusivity,Renewal Term,Minimum Commitment
Document Name,1.0,0.9935729228322364,0.8000416162183558,0.6894188054649143,0.6259382457204438,0.5741103521858248,0.5420049992179741,0.38763973354008957,0.3622768758697767,0.3136867135519083,0.2790033115878206,0.277903541271329,0.27570666981914066,0.2724176301876473,0.2604108940714671
Parties,0.9935729228322364,1.0,0.8052168067722613,0.6834993008743282,0.6299872222123073,0.5778240720865163,0.5455110407728884,0.3901472399580902,0.36462031879561063,0.31571584364208155,0.2808080868312169,0.2797012024836074,0.2774901202351842,0.27417980495191563,0.26209540144184984
Agreement Date,0.8000416162183558,0.8052168067722613,1.0,0.6082613180459736,0.5214527749222618,0.5148209485574441,0.46950045439546406,0.31444009622433794,0.28135039877717266,0.24032831543520963,0.23464570431211607,0.23309293354788163,0.2211658198386862,0.21644827296300853,0.21707308427590208
Governing Law,0.6894188054649143,0.6834993008743282,0.6082613180459736,1.0,0.6741151483224425,0.5742909816397878,0.701354127702366,0.5172246309887201,0.4422239748630829,0.4159256152557645,0.3233426248133777,0.37865492204578427,0.3508695536236723,0.30478863045690485,0.3107229924429752
Expiration Date,0.6259382457204438,0.6299872222123073,0.5214527749222618,0.6741151483224425,1.0,0.5559986839440554,0.6584576422831235,0.45338583877882793,0.4115123958632767,0.3885123761323484,0.3050431955895561,0.35003741351163525,0.29910875099819406,0.40364705724055894,0.31946819200032184
Effective Date,0.5741103521858248,0.5778240720865163,0.5148209485574441,0.5742909816397878,0.5559986839440554,1.0,0.512241798488929,0.42994499553720966,0.36257275738640005,0.320260899675352,0.2885579727093597,0.30914859634341035,0.23610485879496915,0.2598425339085686,0.2581614833454308
Anti-Assignment,0.5420049992179741,0.5455110407728884,0.46950045439546406,0.701354127702366,0.6584576422831235,0.512241798488929,1.0,0.49442090978729203,0.5084246180170039,0.46384222958066507,0.30543795433540866,0.3929322189161424,0.3284074883462583,0.3214535987016165,0.30343732931781975
Cap On Liability,0.38763973354008957,0.3901472399580902,0.31444009622433794,0.5172246309887201,0.45338583877882793,0.42994499553720966,0.49442090978729203,1.0,0.44022039446708616,0.4805828057768215,0.31943016815123837,0.3305478322352697,0.2651474650226967,0.29856513915042193,0.35706186851474325
License Grant,0.3622768758697767,0.36462031879561063,0.28135039877717266,0.4422239748630829,0.4115123958632767,0.36257275738640005,0.5084246180170039,0.44022039446708616,1.0,0.40766577344617644,0.18310536774436395,0.43638102388306477,0.451383573621534,0.24815067001668104,0.30331598019509265
Audit Rights,0.3136867135519083,0.31571584364208155,0.24032831543520963,0.4159256152557645,0.3885123761323484,0.320260899675352,0.46384222958066507,0.4805828057768215,0.40766577344617644,1.0,0.20752678762012006,0.45337882511079314,0.3308096402502217,0.2946815750125067,0.4011378716832325
Termination For Convenience,0.2790033115878206,0.2808080868312169,0.23464570431211607,0.3233426248133777,0.3050431955895561,0.2885579727093597,0.30543795433540866,0.31943016815123837,0.18310536774436395,0.20752678762012006,1.0,0.19824267945306556,0.013497691491378026,0.16414829628382932,0.05643202302346387
Post-Termination Services,0.277903541271329,0.2797012024836074,0.23309293354788163,0.37865492204578427,0.35003741351163525,0.30914859634341035,0.3929322189161424,0.3305478322352697,0.43638102388306477,0.45337882511079314,0.19824267945306556,1.0,0.3333526500811588,0.2544761727514794,0.3108607174253095
Exclusivity,0.27570666981914066,0.2774901202351842,0.2211658198386862,0.3508695536236723,0.29910875099819406,0.23610485879496915,0.3284074883462583,0.2651474650226967,0.451383573621534,0.3308096402502217,0.013497691491378026,0.3333526500811588,1.0,0.22797524103006298,0.3326527025464875
Renewal Term,0.2724176301876473,0.27417980495191563,0.21644827296300853,0.30478863045690485,0.40364705724055894,0.2598425339085686,0.3214535987016165,0.29856513915042193,0.24815067001668104,0.2946815750125067,0.16414829628382932,0.2544761727514794,0.22797524103006298,1.0,0.26726555307595024
Minimum Commitment,0.2604108940714671,0.26209540144184984,0.21707308427590208,0.3107229924429752,0.31946819200032184,0.2581614833454308,0.30343732931781975,0.35706186851474325,0.30331598019509265,0.4011378716832325,0.05643202302346387,0.3108607174253095,0.3326527025464875,0.26726555307595024,1.0
