expected,expected_subclass,total,train,test,share_pct,test_share_pct
contract,Supply,47,42,5,1.4233797698364627,10.638297872340425
contract,License_Agreements,43,41,2,1.3022410660205936,4.651162790697675
contract,Consulting Agreements,38,37,1,1.150817686250757,2.6315789473684212
contract,IP,35,31,4,1.0599636583888552,11.428571428571429
contract,Maintenance,34,30,4,1.029678982434888,11.764705882352942
contract,Service,34,26,8,1.029678982434888,23.529411764705884
contract,Distributor,32,27,5,0.9691096305269533,15.625
contract,Strategic Alliance,32,28,4,0.9691096305269533,12.5
contract,Sponsorship,31,28,3,0.9388249545729861,9.67741935483871
contract,Development,28,24,4,0.8479709267110842,14.285714285714286
contract,Collaboration,26,24,2,0.7874015748031497,7.6923076923076925
contract,Endorsement,24,24,0,0.726832222895215,0.0
contract,Co_Branding,22,17,5,0.6662628709872804,22.727272727272727
contract,Hosting,20,18,2,0.6056935190793459,10.0
contract,Outsourcing,18,18,0,0.5451241671714112,0.0
contract,Manufacturing,17,15,2,0.514839491217444,11.764705882352942
contract,Marketing,17,15,2,0.514839491217444,11.764705882352942
contract,Franchise,15,14,1,0.4542701393095094,6.666666666666667
contract,Joint Venture _ Filing,14,14,0,0.4239854633555421,0.0
contract,Agency Agreements,13,13,0,0.3937007874015748,0.0
contract,Transportation,13,11,2,0.3937007874015748,15.384615384615385
contract,Promotion,12,12,0,0.3634161114476075,0.0
contract,Reseller,12,12,0,0.3634161114476075,0.0
contract,Affiliate_Agreements,11,9,2,0.3331314354936402,18.181818181818183
contract,Joint Venture,9,7,2,0.2725620835857056,22.22222222222222
contract,Non_Compete_Non_Solicit,3,3,0,0.09085402786190187,0.0
corporate_record,charter_amendment,80,71,9,2.4227740763173835,11.25
corporate_record,articles_of_incorporation,62,57,5,1.8776499091459722,8.064516129032258
corporate_record,officer_certificate,61,54,7,1.8473652331920047,11.475409836065573
corporate_record,indenture,57,53,4,1.7262265293761356,7.017543859649122
corporate_record,subsidiary_list,53,43,10,1.6050878255602665,18.867924528301888
corporate_record,rights_instrument,46,43,3,1.3930950938824955,6.521739130434782
corporate_record,board_resolution,32,27,5,0.9691096305269533,15.625
corporate_record,bylaws,28,27,1,0.8479709267110842,3.5714285714285716
corporate_record,powers_of_attorney,28,25,3,0.8479709267110842,10.714285714285714
corporate_record,other,3,3,0,0.09085402786190187,0.0
correspondence,email,557,518,39,16.86856450635978,7.001795332136445
correspondence,memo,83,74,9,2.5136281041792854,10.843373493975903
correspondence,notice,81,77,4,2.4530587522713505,4.938271604938271
correspondence,letter,79,65,14,2.392489400363416,17.72151898734177
correspondence,press_release,78,70,8,2.3622047244094486,10.256410256410257
correspondence,demand,66,60,6,1.9987886129618413,9.090909090909092
correspondence,meeting_request,53,48,5,1.6050878255602665,9.433962264150944
correspondence,attorney_demand,3,3,0,0.09085402786190187,0.0
insurance_claim,auto,300,266,34,9.085402786190187,11.333333333333334
insurance_claim,property,200,184,16,6.0569351907934585,8.0
insurance_claim,carrier,150,130,20,4.5427013930950935,13.333333333333334
insurance_claim,inpatient,150,135,15,4.5427013930950935,10.0
insurance_claim,outpatient,150,135,15,4.5427013930950935,10.0
insurance_claim,pde,150,136,14,4.5427013930950935,9.333333333333334
merger_agreement,all_cash,57,51,6,1.7262265293761356,10.526315789473685
merger_agreement,other,57,49,8,1.7262265293761356,14.035087719298245
merger_agreement,all_stock,24,22,2,0.726832222895215,8.333333333333334
merger_agreement,mixed_cash_stock,13,12,1,0.3937007874015748,7.6923076923076925
merger_agreement,mixed_cash_stock_election,1,1,0,0.03028467595396729,0.0
