expected,expected_subclass,test,train,total,test_share_pct
merger_agreement,mixed_cash_stock_election,0,1,1,0.0
contract,Non_Compete_Non_Solicit,0,3,3,0.0
corporate_record,other,0,3,3,0.0
correspondence,attorney_demand,0,3,3,0.0
contract,Joint Venture,2,7,9,22.22222222222222
contract,Affiliate_Agreements,2,9,11,18.181818181818183
contract,Reseller,0,12,12,0.0
contract,Promotion,0,12,12,0.0
contract,Transportation,2,11,13,15.384615384615385
merger_agreement,mixed_cash_stock,1,12,13,7.6923076923076925
contract,Agency Agreements,0,13,13,0.0
contract,Joint Venture _ Filing,0,14,14,0.0
contract,Franchise,1,14,15,6.666666666666667
contract,Manufacturing,2,15,17,11.764705882352942
contract,Marketing,2,15,17,11.764705882352942
contract,Outsourcing,0,18,18,0.0
contract,Hosting,2,18,20,10.0
contract,Co_Branding,5,17,22,22.727272727272727
contract,Endorsement,0,24,24,0.0
merger_agreement,all_stock,2,22,24,8.333333333333334
contract,Collaboration,2,24,26,7.6923076923076925
contract,Development,4,24,28,14.285714285714286
corporate_record,powers_of_attorney,3,25,28,10.714285714285714
corporate_record,bylaws,1,27,28,3.5714285714285716
contract,Sponsorship,3,28,31,9.67741935483871
corporate_record,board_resolution,5,27,32,15.625
contract,Strategic Alliance,4,28,32,12.5
contract,Distributor,5,27,32,15.625
contract,Service,8,26,34,23.529411764705884
contract,Maintenance,4,30,34,11.764705882352942
contract,IP,4,31,35,11.428571428571429
contract,Consulting Agreements,1,37,38,2.6315789473684212
contract,License_Agreements,2,41,43,4.651162790697675
corporate_record,rights_instrument,3,43,46,6.521739130434782
contract,Supply,5,42,47,10.638297872340425
correspondence,meeting_request,5,48,53,9.433962264150944
corporate_record,subsidiary_list,10,43,53,18.867924528301888
merger_agreement,all_cash,6,51,57,10.526315789473685
merger_agreement,other,8,49,57,14.035087719298245
corporate_record,indenture,4,53,57,7.017543859649122
corporate_record,officer_certificate,7,54,61,11.475409836065573
corporate_record,articles_of_incorporation,5,57,62,8.064516129032258
correspondence,demand,6,60,66,9.090909090909092
correspondence,press_release,8,70,78,10.256410256410257
correspondence,letter,14,65,79,17.72151898734177
corporate_record,charter_amendment,9,71,80,11.25
correspondence,notice,4,77,81,4.938271604938271
correspondence,memo,9,74,83,10.843373493975903
insurance_claim,carrier,20,130,150,13.333333333333334
insurance_claim,inpatient,15,135,150,10.0
insurance_claim,outpatient,15,135,150,10.0
insurance_claim,pde,14,136,150,9.333333333333334
insurance_claim,property,16,184,200,8.0
insurance_claim,auto,34,266,300,11.333333333333334
correspondence,email,39,518,557,7.001795332136445
